text,label
"URGENT verify your account now",1
"Your password will expire, login to update",1
"Invoice attached. Pay immediately",1
"Payment failed. Verify your billing details",1
"Confirm your bank transaction now",1
"Unusual sign-in detected. Reset password",1
"Your account is locked. Click to unlock",1
"Claim your refund now. Verify details",1
"Security alert: confirm identity",1
"Update your payment method to continue",1
"Hi, are we still meeting tomorrow?",0
"Lunch at 2pm?",0
"Project deadline moved to Friday",0
"Thanks for your help earlier",0
"Please review the document when free",0
"Can you send me the notes?",0
"Reminder: seminar starts at 10am",0
"See you at training tonight",0
"Happy birthday! Hope you have a great day",0
"Team meeting moved to 3pm in MI102A",0
